Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Largemouth Bass,238,,13042,,4,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,340,,,,5,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,324,,,,5,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,287,,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,551,,,,6,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,171,,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Bluegill,136,,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,White Crappie,210,0.1,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,176,,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,200,,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,890,,,,6,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,277,,,,8,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,590,,,,8,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,265,,,,8,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,263,,,,8,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,610,,,,8,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Channel Catfish,630,0.6,,,8,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Channel Catfish,431,0.6,,,8,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,270,,,,8,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,760,,,,8,,1
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,147,,,,4,,1
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,147,,,,4,,0
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,145,,,,4,,0
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,139,,,,4,,0
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,150,,,,4,,0
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,152,,,,4,,0
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,135,,,,4,,0
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,346,,,,5,,1
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,River Redhorse,310,,,,5,,1
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Threadfin Shad,171,,,,6,,1
Gillnet,68,6/19/2019 11:00,6/19/2019 18:33,7.550,,,,Gizzard Shad,240,,,,8,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Spotted Gar,562,,,,2,,1
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,235,,,,2,,1
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Spotted Gar,565,,,,2,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,243,,,,2,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,247,,,,2,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,223,,,,2,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,239,,,,2,,0
Gillnet,68,6/19/2019 18:45,6/20/2019 8:10,13.417,,,,Gizzard Shad,240,,,,2,,0
