"","X","Z2","k","POINT_Z","Z","Z3","N","DawnDO_Mod","DawnDO_Mod2","combo","POINT_X","POINT_Y","optional"
"1165801",1165801,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333183.6_3684855",-88.791504720618,33.2898750046003,TRUE
"1165802",1165802,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333185.6_3684855",-88.7914832509893,33.2898753141503,TRUE
"1165803",1165803,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333187.6_3684855",-88.7914617813602,33.2898756236965,TRUE
"1165804",1165804,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333189.6_3684855",-88.7914403117307,33.289875933239,TRUE
"1165805",1165805,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333191.6_3684855",-88.791418842101,33.2898762427778,TRUE
"1165806",1165806,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333193.6_3684855",-88.7913973724709,33.2898765523129,TRUE
"1165807",1165807,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333195.6_3684855",-88.7913759028405,33.2898768618443,TRUE
"1165808",1165808,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333197.6_3684855",-88.7913544332097,33.289877171372,TRUE
"1165809",1165809,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333199.6_3684855",-88.7913329635786,33.289877480896,TRUE
"1165810",1165810,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333201.6_3684855",-88.7913114939472,33.2898777904162,TRUE
"1165811",1165811,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333203.6_3684855",-88.7912900243155,33.2898780999328,TRUE
"1165812",1165812,2,0.06,66.31,2.02,1,3111,4.682917,5.317083,"333205.6_3684855",-88.7912685546835,33.2898784094457,TRUE
"1165813",1165813,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333207.6_3684855",-88.7912470850511,33.2898787189548,TRUE
"1165814",1165814,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333173.6_3684853",-88.7916117001512,33.2898554257271,TRUE
"1165815",1165815,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333175.6_3684853",-88.7915902305285,33.2898557352954,TRUE
"1165816",1165816,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333177.6_3684853",-88.7915687609054,33.2898560448599,TRUE
"1165817",1165817,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333179.6_3684853",-88.791547291282,33.2898563544207,TRUE
"1165818",1165818,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333181.6_3684853",-88.7915258216583,33.2898566639779,TRUE
"1165819",1165819,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333183.6_3684853",-88.7915043520343,33.2898569735313,TRUE
"1165820",1165820,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333185.6_3684853",-88.7914828824099,33.289857283081,TRUE
"1165821",1165821,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333187.6_3684853",-88.7914614127853,33.289857592627,TRUE
